,Title,Price,Rating,Discount,Detail,Url
0,"Boult Audio ProBass Escape Bluetooth Headset  (Black, In the Ear)",₹899,3.9,77% off,"GeneralModel NameProBass EscapeColorBlackHeadphone TypeIn the EarInline RemoteYesSales Package1 Escape Earphone, 2 Extra Pair of Earbuds, Charging Micro USB Cable, User ManualConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsSweat ProofYesFoldable/CollapsibleNoDeep BassYesWater ResistantYesMonauralYesMagnet TypeNeodyIndicatorsBattery Level Indicator, Power Indicator, Connection Status IndicatorControlsVolume Control, On-Off, Song Change, Call Receive/DisconnectOther FeaturesMagnetic Drivers, Light Weight, Premium Finish, Seamless ConnectivityWith MicrophoneYesSound FeaturesModulationMSK DigitalConnectivity FeaturesBluetooth Version5Bluetooth Range10 mHeadphone Power SourceUSB ChargerBattery TypeLithium IonBattery Life10 hrsCharging Time1.2 hoursPlay Time10 hrsDimensionsWidth110 mmHeight15 mmWeight28 gWarrantyDomestic Warranty1 YearWarranty Summary1 Year Warranty from the Date of PurchaseWarranty Service TypeCarry-inCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damage",https://www.flipkart.com/boult-audio-probass-escape-bluetooth-headset/p/itme0555107851ae?pid=ACCG2J2PUKJYTU7S&lid=LSTACCG2J2PUKJYTU7SGOKSS0&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_2&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_PGiv10rxVnRu4lsLYy2AN1xL9DTwAMXjGTCZteisjuzvome6bAou9bit6jpcRIGfljMssX%2F6SXHFeojbeHIWdw%3D%3D&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
1,"OnePlus Bullets Wireless Z2 with Fast Charge, 30 Hrs Battery Life, Earphones with mic Bluetooth Headset  (Magico Black, In the Ear)","₹1,999",4.2,13% off,"GeneralModel NameBullets Wireless Z2ColorMagico BlackHeadphone TypeIn the EarInline RemoteYesSales Package1 Neckband, Type C Cable, Additional Pair of Eartips, User Guide, Warranty CardConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsDeep BassYesWater ResistantYesWith MicrophoneYesConnectivity FeaturesBluetooth Version5WarrantyDomestic Warranty1 YearWarranty Summary1 Year Warranty on ProductCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damages",https://www.flipkart.com/oneplus-bullets-wireless-z2-fast-charge-30-hrs-battery-life-earphones-mic-bluetooth-headset/p/itm1b9cd98911a2a?pid=ACCGC4GN5SQR7ZCZ&lid=LSTACCGC4GN5SQR7ZCZQKBRXO&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_3&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCGC4GN5SQR7ZCZ.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
2,"OnePlus Bullets Wireless Z2 Bluetooth Headset  (Acoustic Red, In the Ear)","₹1,999",4.2,13% off,"GeneralModel NameBullets Wireless Z2ColorAcoustic RedHeadphone TypeIn the EarInline RemoteYesSales Package1 Headphone, Type C Cable, Earplug, User Guide, Membership CardConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsDeep BassYesWater ResistantYesWith MicrophoneYesConnectivity FeaturesBluetooth Version5WarrantyWarranty Summary1 Year Warranty on ProductCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damage",https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm4c3852314bb61?pid=ACCGF4JZHYTERVTY&lid=LSTACCGF4JZHYTERVTYYAP0K1&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_4&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCGF4JZHYTERVTY.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
3,"Aroma NB119B Badshah - 40 Hours Playtime Bluetooth Neckband Bluetooth Headset  (Black, In the Ear)",₹439,4,70% off,"GeneralModel NameNB119B - 40 Hours Playtime with superior sound NeckbandColorBlackHeadphone TypeIn the EarInline RemoteYesSales Package1 Bluetooth HeadsetConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsSweat ProofYesFoldable/CollapsibleNoDeep BassYesWater ResistantYesMonauralNoDesigned ForLightweight design is ideal for listening during exercise, travel, or everyday useSeriesNB119Magnet TypeNeodymiumIndicatorsBlue light indicates the bluetooth is fully charged, Red light indicates low batteryControlsShort Press (+) to change to next song, Short Press (-) to change to previous song, Long Press (+) to Increase Volume, Long Press (-) to decrease Volume, Long Press power button to turn On/Off, Short Press power button to Receive / Disconnect calls, Double Press power button to redialNumber of Pins1Boom MicrophoneYesWith MicrophoneYesSound FeaturesSensitivity95 dBmWImpedance32 ohmConnectivity FeaturesWireless TypeBluetoothWireless Range10 mBluetooth Version5.0Bluetooth Range10 mHeadphone Power SourceBatteryTransmitter Power SourceBatteryHeadphone BatteryLithium PolymerBattery Output3.7 VBattery TypeLithium PolymerBattery Life40 hrCharging Time2.5 hoursPlay Time40 hrStandby Time600 hrWarrantyDomestic Warranty6 MonthsWarranty Summary6 Months Manufacturing Warranty* Terms and Conditions Apply*Warranty Service TypeWhatsapp Invoice, Product Images, Videos and Issue in Brief on +91 8433554123Covered in WarrantyManufacturing Defect*Not Covered in WarrantyPhysical Damage caused Knowing / Unknowingly",https://www.flipkart.com/aroma-nb119b-badshah-40-hours-playtime-bluetooth-neckband-headset/p/itmdb644cfa383b2?pid=ACCG2TC8SURNPZAA&lid=LSTACCG2TC8SURNPZAAEIAOTI&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_5&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCG2TC8SURNPZAA.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
4,"boAt Rockerz 255F Pro/ Rockerz 255 Pro Bluetooth Headset  (Active Black Indi, In the Ear)","₹1,381",4.1,60% off,"GeneralModel NameRockerz 255F Pro with ASAP Charge and upto 10 Hours PlaybackColorActive Black IndiHeadphone TypeIn the EarInline RemoteYesSales Package1 Headphone, Charging Cable, User Manual, Warranty CardConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsDeep BassYesWater ResistantYesWith MicrophoneYesConnectivity FeaturesBluetooth Range10 mWarrantyDomestic Warranty1 YearWarranty Summary1 Year Warranty from the Date of PurchaseWarranty Service TypeReach Out to us at info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively You Can Activate Your Warranty by Giving a Missed Call on 9223032222Covered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damages",https://www.flipkart.com/boat-rockerz-255f-pro-255-pro-bluetooth-headset/p/itm103353d22d2c1?pid=ACCFZHDAYSTBQ4AY&lid=LSTACCFZHDAYSTBQ4AYKJQLRM&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_6&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCFZHDAYSTBQ4AY.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
5,"TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth headphone Bluetooth Headset  (Black, In the Ear)",₹445,3.9,88% off,"GeneralModel NameFire 500v2 Neckband hi-bass Wireless Bluetooth headphoneColorBlackHeadphone TypeIn the EarInline RemoteYesSales Package1 headphone, user manual, extra earbufs, usb cableConnectivityBluetoothHeadphone DesignBehind the NeckAccessories IncludedAdditional Earmuffs/Eartips, USB Charging Cable, User ManualProduct DetailsSweat ProofYesFoldable/CollapsibleYesDeep BassYesWater ResistantYesMonauralNoDesigned ForAll smartphonesSeriesNeckbandCircumaural/SupraauralCircumauralOpen/Closed BackOpenCarrier Frequency2.4-2.48Magnet TypeFerriteDriver TypedynamicIndicatorson/offControlson/off,vol+/-Technology UsedDSPHeadphone Driver Units10 mmTotal Harmonic Distortion0.5Boom MicrophoneYesWith MicrophoneYesSound FeaturesSensitivity42 dBmWImpedance30 ohmSignal to Noise Ratio42 dBMinimum Frequency Response20 HzMaximum Frequency Response20000 HzNoise Reduction90 dBAudio CodecsbcConnectivity FeaturesWireless TypeBluetoothWireless Range10 mBluetooth Profilesa2dpBluetooth Version5.1Bluetooth Range10 mHeadphone Power SourceUSB CHARGINGTransmitter Power SourceUSB CHARGINGHeadphone Power Requirement5 v dcTransmitter Power Requirement5 v dcHeadphone BatteryLithium-ionTransmitter BatteryLithium-ionPower Supply5 v dcBattery Output5 VBattery TypeLithium-ionBattery Capacity300 mAhCharging Time1Play Time40 hrStandby Time300 hrWarrantyDomestic Warranty0 YearWarranty Summary7 days replacementWarranty Service Type7 days replacementCovered in Warrantyany manufacturing defectsNot Covered in Warrantyany physical damage",https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itme293721806e2c?pid=ACCG5EPZBRZDZFSZ&lid=LSTACCG5EPZBRZDZFSZY15YXG&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_7&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCG5EPZBRZDZFSZ.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
6,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, Fast Charging, Fast Pairing Bluetooth Headset  (Black, In the Ear)","₹1,299",4,74% off,"GeneralModel NameProBass FChargeColorBlackHeadphone TypeIn the EarInline RemoteYesSales Package1 Neckband, Extra Pair of Eartips, Charging Cable, User ManualConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsSweat ProofYesFoldable/CollapsibleNoDeep BassYesWater ResistantYesMonauralYesDesigned ForMobiles, Smartphones, Tablets, Laptops, Smart TVs, iOS, Android, Windows, BlackberryControlsOn/Off, Song Change, Play/Pause Songs, Call Receive/Disconnect/RejectTechnology UsedPro+ Calling TechnologyOther FeaturesPro+ Calling Mic Technology & Environmental Noise Cancellation: Experience the crystal clear calling experience, as ambient noises get filtered out., Long Battery Life: 40 hour Playback time, Fast Charging: 10 Mins Charge = 15 Hours Playback, Fast Pairing: Designed with the latest Bluetooth 5.2 technology, Soft Silicon Band with In-line controls / IPX5 Water ResistantHeadphone Driver Units14.2 mmWith MicrophoneYesSound FeaturesModulationMSK DigitalConnectivity FeaturesWireless TypeBluetoothWireless Range10 mBattery TypeLithium IonBattery Life40 hrsPlay Time40 hrsWarrantyDomestic Warranty1 YearWarranty Summary1 Year Warranty from the Date of PurchaseCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damage",https://www.flipkart.com/boult-audio-probass-fcharge-40-hrs-playtime-enc-fast-charging-pairing-bluetooth-headset/p/itm990890a2723e2?pid=ACCGC2JJSZZNZYCX&lid=LSTACCGC2JJSZZNZYCXQ6ZDAT&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_8&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=en_PGiv10rxVnRu4lsLYy2AN1xL9DTwAMXjGTCZteisjuwFDq3fSOGzmYCmAyxWe5swRPhtXSWjnmhk1mkI7xD3Yw%3D%3D&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
7,"OnePlus Bullets Wireless Z2 Bluetooth Headset  (Beam Blue, In the Ear)","₹1,999",4.2,13% off,"GeneralModel NameBullets Wireless Z2ColorBeam BlueHeadphone TypeIn the EarInline RemoteYesSales Package1 Neckband, Type C Cable, Additional Pair of Eartips, User Guide, Warranty CardConnectivityBluetoothHeadphone DesignBehind the NeckProduct DetailsDeep BassYesWith MicrophoneYesWarrantyDomestic Warranty1 YearWarranty Summary1 Year Warranty on ProductCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damages",https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth-headset/p/itm7326ce69c6b07?pid=ACCGC4GNTHDWZJRA&lid=LSTACCGC4GNTHDWZJRAEAYS3M&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_9&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCGC4GNTHDWZJRA.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
8,"realme Buds Air 3 Neo with up to 30 hours Playback & Fast Charge Bluetooth Headset  (Starry Blue, True Wireless)","₹1,999",4.1,42% off,"GeneralModel NameAir 3 NeoColorStarry BlueHeadphone TypeTrue WirelessInline RemoteYesSales Package1 Pair of Earbuds with Charging Case, User Guide, Charging Cable, 4 EartipsConnectivityBluetoothHeadphone DesignEarbudProduct DetailsSweat ProofYesDeep BassYesWater ResistantYesDesigned ForAndroid Smartphones, Tablets, Laptop, iOS DevicesDriver TypeBass BoostIndicatorsPower Indicator, Battery IndicatorControlsCall Controls, Music ControlsWith MicrophoneYesSound FeaturesAudio CodecSBC AACConnectivity FeaturesWireless TypeBluetoothWireless Range10 mBluetooth ProfilesAVRCP, A2DPBluetooth Version5.2Bluetooth Range10 mHeadphone Power SourceBatteryBattery TypeLithium PolymerBattery Life30 hrsBattery Capacity460 mAhCharging Time2Play Time30 hrsStandby Time40 hrsDimensionsWidth49.4 mmHeight66.1 mmDepth25.2 mmWeight38 gWarrantyDomestic Warranty1 YearWarranty Summary1 Year WarrantyWarranty Service TypeCarry InCovered in WarrantyManufacturing DefectsNot Covered in WarrantyPhysical Damage",https://www.flipkart.com/realme-buds-air-3-neo-up-30-hours-playback-fast-charge-bluetooth-headset/p/itmd5fa6d8758897?pid=ACCGFW9XEDWXEGGZ&lid=LSTACCGFW9XEDWXEGGZA6BNQ6&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_10&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCGFW9XEDWXEGGZ.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
9,"TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth headphone Bluetooth Headset  (Blue, In the Ear)",₹449,3.9,88% off,"GeneralModel NameFire 500v2 Neckband hi-bass Wireless Bluetooth headphoneColorBlueHeadphone TypeIn the EarInline RemoteYesSales Package1 headphone, 1 user manual, 1 usb cable, extra earbuffsConnectivityBluetoothHeadphone DesignBehind the NeckAccessories IncludedUSB Charging Cable, User ManualProduct DetailsSweat ProofYesFoldable/CollapsibleYesDeep BassYesWater ResistantYesMonauralYesSeriesNECKBANDCircumaural/SupraauralCircumauralCarrier Frequency2.4-2.48Magnet TypeferriteDriver TypeDual dynamicIndicatorsON/OFFControlsON/OFF, VOL-VOL+Headphone Driver Units10 mmBoom MicrophoneYesWith MicrophoneYesSound FeaturesSensitivity42 dBmWImpedance30 ohmSignal to Noise Ratio90 dBMinimum Frequency Response20 HzMaximum Frequency Response20000 HzNoise Reduction90 dBAudio CodecSBCConnectivity FeaturesWireless TypeBLUETOOTHWireless Range10 mBluetooth ProfilesA2DPBluetooth Version5.0Bluetooth Range10 mHeadphone Power Sourceusb chargingTransmitter Power Sourceusb chargingHeadphone Power Requirement5 V DCTransmitter Power Requirement5 V DCHeadphone BatteryLITHIUM-IONPower Supply5 V DCBattery Output5 VBattery TypeLITHIUM-IONCharging Time1Play Time40 hrStandby Time300 hrWarrantyWarranty Summary7 days replacement warrantyCovered in WarrantyANY INTERNAL DAMAGENot Covered in WarrantyANY PHYSICAL DAMAGE",https://www.flipkart.com/techfire-fire-500v2-neckband-hi-bass-wireless-bluetooth-headphone-headset/p/itm65b6ecc6401c2?pid=ACCG9KYX8FHKRZPP&lid=LSTACCG9KYX8FHKRZPPKYWV2W&marketplace=FLIPKART&store=0pm%2Ffcn&srno=b_1_11&otracker=browse&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_2_L2_view-all&fm=organic&iid=56e401ca-d6d8-49d5-bd90-b967a9010384.ACCG9KYX8FHKRZPP.SEARCH&ppt=None&ppn=None&ssid=g7gi4ewucw0000001660812282731
